,relative_path,full_path,instrument,instrument_id
11,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1527__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1527__3.wav,pia,0
12,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1372__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1372__2.wav,pia,0
13,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1331__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1331__3.wav,pia,0
14,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1295__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1295__2.wav,pia,0
15,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1510__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1510__2.wav,pia,0
16,../../IRMAS/IRMAS-TrainingData/pia/155__[pia][nod][cla]1415__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/155__[pia][nod][cla]1415__2.wav,pia,0
17,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1533__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1533__2.wav,pia,0
18,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1447__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1447__2.wav,pia,0
19,../../IRMAS/IRMAS-TrainingData/pia/124__[pia][nod][jaz_blu]1426__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/124__[pia][nod][jaz_blu]1426__3.wav,pia,0
20,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1465__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1465__3.wav,pia,0
21,../../IRMAS/IRMAS-TrainingData/pia/067__[pia][nod][cla]1388__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/067__[pia][nod][cla]1388__1.wav,pia,0
22,../../IRMAS/IRMAS-TrainingData/pia/064__[pia][dru][jaz_blu]1430__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/064__[pia][dru][jaz_blu]1430__3.wav,pia,0
23,../../IRMAS/IRMAS-TrainingData/pia/239__[pia][nod][cla]1391__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/239__[pia][nod][cla]1391__2.wav,pia,0
24,../../IRMAS/IRMAS-TrainingData/pia/239__[pia][nod][cla]1391__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/239__[pia][nod][cla]1391__3.wav,pia,0
25,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1305__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1305__3.wav,pia,0
26,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1302__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1302__1.wav,pia,0
27,../../IRMAS/IRMAS-TrainingData/pia/231__[pia][nod][cla]1408__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/231__[pia][nod][cla]1408__2.wav,pia,0
28,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1348__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1348__3.wav,pia,0
29,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1502__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1502__1.wav,pia,0
30,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1339__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1339__3.wav,pia,0
31,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1325__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1325__3.wav,pia,0
32,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1294__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1294__3.wav,pia,0
33,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1375__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1375__1.wav,pia,0
34,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1353__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1353__3.wav,pia,0
35,../../IRMAS/IRMAS-TrainingData/pia/170__[pia][nod][cla]1403__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/170__[pia][nod][cla]1403__3.wav,pia,0
36,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1370__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1370__1.wav,pia,0
37,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1507__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1507__2.wav,pia,0
38,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1510__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1510__1.wav,pia,0
39,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1452__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1452__3.wav,pia,0
40,../../IRMAS/IRMAS-TrainingData/pia/086__[pia][dru][jaz_blu]1424__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/086__[pia][dru][jaz_blu]1424__1.wav,pia,0
41,../../IRMAS/IRMAS-TrainingData/pia/187__[pia][nod][cla]1404__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/187__[pia][nod][cla]1404__1.wav,pia,0
42,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1314__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1314__1.wav,pia,0
43,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1338__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1338__3.wav,pia,0
44,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1478__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1478__2.wav,pia,0
45,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1459__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1459__3.wav,pia,0
46,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1500__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1500__1.wav,pia,0
47,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1461__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1461__2.wav,pia,0
48,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1450__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1450__2.wav,pia,0
49,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1343__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1343__2.wav,pia,0
50,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1526__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1526__1.wav,pia,0
51,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1313__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1313__2.wav,pia,0
52,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1482__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1482__1.wav,pia,0
53,../../IRMAS/IRMAS-TrainingData/pia/182__[pia][dru][cou_fol]1421__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/182__[pia][dru][cou_fol]1421__2.wav,pia,0
54,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1288__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1288__2.wav,pia,0
55,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1292__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1292__2.wav,pia,0
56,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1523__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1523__2.wav,pia,0
57,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1486__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1486__1.wav,pia,0
58,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1365__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1365__1.wav,pia,0
59,../../IRMAS/IRMAS-TrainingData/pia/134__[pia][nod][cla]1405__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/134__[pia][nod][cla]1405__2.wav,pia,0
60,../../IRMAS/IRMAS-TrainingData/pia/024__[pia][nod][cla]1414__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/024__[pia][nod][cla]1414__1.wav,pia,0
61,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1495__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1495__3.wav,pia,0
62,../../IRMAS/IRMAS-TrainingData/pia/229__[pia][nod][jaz_blu]1434__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/229__[pia][nod][jaz_blu]1434__2.wav,pia,0
63,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1283__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1283__3.wav,pia,0
64,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1311__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1311__3.wav,pia,0
65,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1481__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1481__3.wav,pia,0
66,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1293__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1293__2.wav,pia,0
67,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1497__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1497__2.wav,pia,0
68,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1520__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1520__1.wav,pia,0
69,../../IRMAS/IRMAS-TrainingData/pia/055__[pia][dru][cou_fol]1420__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/055__[pia][dru][cou_fol]1420__2.wav,pia,0
70,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1331__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1331__2.wav,pia,0
71,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1472__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1472__1.wav,pia,0
72,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1329__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1329__1.wav,pia,0
73,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1520__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1520__2.wav,pia,0
74,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1521__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1521__2.wav,pia,0
75,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1476__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1476__2.wav,pia,0
76,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1369__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1369__1.wav,pia,0
77,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1336__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1336__2.wav,pia,0
78,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1512__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1512__1.wav,pia,0
79,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1295__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1295__1.wav,pia,0
80,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1512__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1512__2.wav,pia,0
81,../../IRMAS/IRMAS-TrainingData/pia/157__[pia][nod][cla]1400__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/157__[pia][nod][cla]1400__3.wav,pia,0
82,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1323__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1323__2.wav,pia,0
83,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1314__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1314__2.wav,pia,0
84,../../IRMAS/IRMAS-TrainingData/pia/108__[pia][nod][cla]1386__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/108__[pia][nod][cla]1386__3.wav,pia,0
85,../../IRMAS/IRMAS-TrainingData/pia/160__[pia][nod][jaz_blu]1433__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/160__[pia][nod][jaz_blu]1433__3.wav,pia,0
86,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1354__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1354__3.wav,pia,0
87,../../IRMAS/IRMAS-TrainingData/pia/261__[pia][dru][jaz_blu]1427__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/261__[pia][dru][jaz_blu]1427__1.wav,pia,0
88,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1341__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1341__1.wav,pia,0
89,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1532__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1532__1.wav,pia,0
90,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1511__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1511__3.wav,pia,0
91,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1473__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1473__2.wav,pia,0
92,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1303__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1303__1.wav,pia,0
93,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1502__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1502__2.wav,pia,0
94,../../IRMAS/IRMAS-TrainingData/pia/055__[pia][dru][cou_fol]1420__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/055__[pia][dru][cou_fol]1420__1.wav,pia,0
95,../../IRMAS/IRMAS-TrainingData/pia/004__[pia][nod][cla]1394__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/004__[pia][nod][cla]1394__1.wav,pia,0
96,../../IRMAS/IRMAS-TrainingData/pia/152__[pia][dru][pop_roc]1440__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/152__[pia][dru][pop_roc]1440__3.wav,pia,0
97,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1282__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1282__2.wav,pia,0
98,../../IRMAS/IRMAS-TrainingData/pia/162__[pia][dru][pop_roc]1436__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/162__[pia][dru][pop_roc]1436__2.wav,pia,0
99,../../IRMAS/IRMAS-TrainingData/pia/027__[pia][nod][cla]1398__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/027__[pia][nod][cla]1398__2.wav,pia,0
100,../../IRMAS/IRMAS-TrainingData/pia/093__[pia][dru][jaz_blu]1428__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/093__[pia][dru][jaz_blu]1428__2.wav,pia,0
101,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1333__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1333__3.wav,pia,0
102,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1345__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1345__3.wav,pia,0
103,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1293__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1293__1.wav,pia,0
104,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1519__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1519__2.wav,pia,0
105,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1321__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1321__3.wav,pia,0
106,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1496__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1496__1.wav,pia,0
107,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1448__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1448__2.wav,pia,0
108,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1328__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1328__3.wav,pia,0
109,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1491__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1491__2.wav,pia,0
110,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1344__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1344__1.wav,pia,0
111,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1502__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1502__3.wav,pia,0
112,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1485__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1485__1.wav,pia,0
113,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1500__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1500__2.wav,pia,0
114,../../IRMAS/IRMAS-TrainingData/pia/113__[pia][nod][cla]1407__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/113__[pia][nod][cla]1407__1.wav,pia,0
115,../../IRMAS/IRMAS-TrainingData/pia/104__[pia][nod][cla]1387__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/104__[pia][nod][cla]1387__1.wav,pia,0
116,../../IRMAS/IRMAS-TrainingData/pia/[pia][cla]1457__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][cla]1457__3.wav,pia,0
117,../../IRMAS/IRMAS-TrainingData/pia/112__[pia][nod][cla]1392__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/112__[pia][nod][cla]1392__1.wav,pia,0
118,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1521__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1521__1.wav,pia,0
119,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1489__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1489__2.wav,pia,0
120,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1500__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1500__3.wav,pia,0
121,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1315__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1315__2.wav,pia,0
122,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1508__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1508__1.wav,pia,0
123,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1460__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1460__3.wav,pia,0
124,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1504__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1504__2.wav,pia,0
125,../../IRMAS/IRMAS-TrainingData/pia/254__[pia][nod][cla]1406__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/254__[pia][nod][cla]1406__3.wav,pia,0
126,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1301__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1301__3.wav,pia,0
127,../../IRMAS/IRMAS-TrainingData/pia/244__[pia][nod][cla]1384__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/244__[pia][nod][cla]1384__3.wav,pia,0
128,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1372__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1372__3.wav,pia,0
129,../../IRMAS/IRMAS-TrainingData/pia/056__[pia][nod][cla]1385__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/056__[pia][nod][cla]1385__2.wav,pia,0
130,../../IRMAS/IRMAS-TrainingData/pia/063__[pia][nod][cla]1418__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/063__[pia][nod][cla]1418__1.wav,pia,0
131,../../IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1288__3.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][pop_roc]1288__3.wav,pia,0
132,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1471__2.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1471__2.wav,pia,0
133,../../IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1483__1.wav,/home/douglas/Documents/tcc/IRMAS/IRMAS-TrainingData/pia/[pia][jaz_blu]1483__1.wav,pia,0
